"ID","Type","SKU","GTIN, UPC, EAN, or ISBN","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Brands","Meta: search_keywords","Meta: seo_title","Meta: seo_description","Meta: seo_canonical","Meta: seo_robots","Meta: seo_focus_keyword","Meta: seo_secondary_keywords","Meta: schema_brand","Meta: schema_mpn","Meta: _dtb_manufacturer_sku","Meta: _dtb_mpn","Meta: schema_condition","Meta: _dtb_brand_key","Meta: _dtb_brand_label","Meta: _dtb_product_kind","Meta: _dtb_commerce_mode","Meta: _dtb_category_key","Meta: _dtb_display_category_key","Meta: _dtb_is_parts","Meta: _dtb_parent_product_sku","Meta: _dtb_variation_axis","Meta: _dtb_variation_value","Meta: _dtb_variation_label","Meta: _dtb_default_variation_sku","Meta: _dtb_variation_sort","Meta: _dtb_inherit_parent_image","Meta: _dtb_schematic_brand","Meta: _dtb_schematic_group","Meta: _dtb_schematic_position","Meta: _dtb_replacement_part_for","Meta: _dtb_compatible_tool_skus","Meta: _dtb_validation_status","Meta: _dtb_validation_errors","Meta: _dtb_brand","Meta: _dtb_specs_json","Meta: _includes_0_name","Meta: _includes_0_sku","Meta: _includes_1_name","Meta: _includes_1_sku","Meta: _includes_2_name","Meta: _includes_2_sku","Meta: _includes_3_name","Meta: _includes_3_sku","Meta: _includes_4_name","Meta: _includes_4_sku","Meta: _includes_5_name","Meta: _includes_5_sku","Meta: _includes_6_name","Meta: _includes_6_sku","Meta: _includes_7_name","Meta: _includes_7_sku","Meta: _includes_8_name","Meta: _includes_8_sku","Meta: _includes_9_name","Meta: _includes_9_sku","Meta: _includes_10_name","Meta: _includes_10_sku","Meta: _includes_11_name","Meta: _includes_11_sku","Meta: _includes_12_name","Meta: _includes_12_sku","Meta: _includes_13_name","Meta: _includes_13_sku","Meta: _includes_14_name","Meta: _includes_14_sku","Meta: _includes_15_name","Meta: _includes_15_sku","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default"
"","simple","TS","","Columbia Tactical Set","1","0","visible","The Columbia Tactical Set is a professional automatic taping and finishing kit built around core Columbia finishing tools for complete drywall workflow coverage.","<p>Columbia Tactical Set gives drywall contractors a matched automatic finishing system for taping, flat finishing, inside corners, and support operations. This set keeps the Columbia tool ecosystem together in one job-ready package, reducing compatibility issues and simplifying crew setup.</p><h3>Features</h3><ul><li><strong>Complete Workflow Coverage:</strong> Designed for professional taping, flat finishing, and corner finishing tasks.</li><li><strong>Matched Columbia System:</strong> Uses Columbia tools engineered to work together cleanly on demanding job sites.</li><li><strong>Job-Ready Package:</strong> Provides a practical starting point for contractors moving into automatic finishing tools.</li></ul>","","","taxable","","1","","","0","0","","","","","0","","","5435.00","Drywall Finishing Tools > Columbia Tools > Tool Sets & Kits","Columbia, Drywall Finishing Tools, Tool Sets & Kits","","https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_ts_basic_01.webp","","","","","","","","","1","Columbia Tools","Columbia Tactical Set, Columbia Tools, drywall tool set, drywall finishing kit, professional drywall tools","Columbia Tactical Set | Professional Drywall Tool Kit","Columbia Tactical Set for professional drywall contractors. A matched Columbia automatic taping and finishing kit for complete workflow coverage.","/product/columbia-tactical-set-ts/","index, follow","Columbia Tactical Set","drywall finishing kit, automatic taping tools, Columbia tool set, drywall contractor tools","Columbia Tools","TS","TS","TS","NewCondition","columbia-tools","Columbia Tools","toolset","standard-catalog","toolsets","toolsets","0","","","","","","","0","","","","","","official-brand-catalog-price-validated","","Columbia Tools","[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""TS""},{""label"":""Model"",""value"":""TS""},{""label"":""Set"",""value"":""Tactical Set""}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","PTS","","Columbia Predator Tactical Set","1","0","visible","The Columbia Predator Tactical Set is a professional finishing kit that upgrades the tactical workflow with Predator-family Columbia components.","<p>Columbia Predator Tactical Set supports professional drywall crews that want a matched Columbia tool system with Predator-family performance. The set is built for efficient taping and finishing workflows while keeping the tools within a cohesive Columbia setup.</p><h3>Features</h3><ul><li><strong>Predator-Family Configuration:</strong> Built around Columbia Predator-family finishing capability.</li><li><strong>Professional Workflow:</strong> Supports taping, flat finishing, and corner finishing operations.</li><li><strong>Matched Components:</strong> Keeps the tool package consistent for reliable setup and repeatable results.</li></ul>","","","taxable","","1","","","0","0","","","","","0","","","5861.00","Drywall Finishing Tools > Columbia Tools > Tool Sets & Kits","Columbia, Drywall Finishing Tools, Tool Sets & Kits","","https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_ts_starter_01.webp","","","","","","","","","2","Columbia Tools","Columbia Predator Tactical Set, Columbia Tools, drywall tool set, drywall finishing kit, professional drywall tools","Columbia Predator Tactical Set | Pro Drywall Kit","Columbia Predator Tactical Set for professional drywall finishing crews using Predator-family Columbia tools in a matched kit.","/product/columbia-predator-tactical-set-pts/","index, follow","Columbia Predator Tactical Set","Predator Family, drywall finishing kit, Columbia tool set, automatic taping tools","Columbia Tools","PTS","PTS","PTS","NewCondition","columbia-tools","Columbia Tools","toolset","standard-catalog","toolsets","toolsets","0","","","","","","","0","","","","","","official-brand-catalog-price-validated","","Columbia Tools","[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""PTS""},{""label"":""Model"",""value"":""PTS""},{""label"":""Set"",""value"":""Predator Tactical Set""}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","SACS","","Columbia Commando Set","1","0","visible","The Columbia Commando Set is a semi-automatic Columbia drywall finishing kit for contractors adding fast corner and finishing workflows.","<p>Columbia Commando Set gives contractors a focused semi-automatic finishing package for inside-corner and finishing operations. It is suited to crews that want Columbia semi-automatic tooling in a simple, matched set without building the package one component at a time.</p><h3>Features</h3><ul><li><strong>Semi-Automatic Workflow:</strong> Built for efficient corner and finishing production.</li><li><strong>Matched Columbia Tools:</strong> Keeps key semi-automatic components in a compatible set.</li><li><strong>Contractor-Focused Package:</strong> Useful for crews expanding beyond hand-tool-only finishing.</li></ul>","","","taxable","","1","","","0","0","","","","","0","","","919.00","Drywall Finishing Tools > Columbia Tools > Tool Sets & Kits","Columbia, Drywall Finishing Tools, Tool Sets & Kits","","https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_ts_corner_01.webp","","","","","","","","","3","Columbia Tools","Columbia Commando Set, Columbia Tools, drywall tool set, drywall finishing kit, professional drywall tools","Columbia Commando Set | Semi-Automatic Drywall Kit","Columbia Commando Set for semi-automatic drywall finishing workflows. A focused Columbia kit for professional contractors.","/product/columbia-commando-set-sacs/","index, follow","Columbia Commando Set","semi automatic drywall tools, Columbia tool set, corner finishing kit, drywall finishing tools","Columbia Tools","SACS","SACS","SACS","NewCondition","columbia-tools","Columbia Tools","toolset","standard-catalog","toolsets","toolsets","0","","","","","","","0","","","","","","official-brand-catalog-price-validated","","Columbia Tools","[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""SACS""},{""label"":""Model"",""value"":""SACS""},{""label"":""Set"",""value"":""Commando Set""}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","TWS","","Columbia Warrior Set","1","0","visible","The Columbia Warrior Set is a Columbia finishing set for contractors who need a compact professional package for high-quality drywall finishing work.","<p>Columbia Warrior Set provides a focused Columbia finishing package for professional drywall contractors. It is positioned as a practical set for crews that want Columbia tool quality in an individual product instead of a variable parent configuration.</p><h3>Features</h3><ul><li><strong>Professional Columbia Set:</strong> Built for contractor-grade drywall finishing work.</li><li><strong>Simple Product Configuration:</strong> Imported as its own individual product for clearer catalog management.</li><li><strong>Matched Tool Package:</strong> Keeps the set organized under the Columbia Tools catalog family.</li></ul>","","","taxable","","1","","","0","0","","","","","0","","","663.00","Drywall Finishing Tools > Columbia Tools > Tool Sets & Kits","Columbia, Drywall Finishing Tools, Tool Sets & Kits","","https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_ts_finishing_01.webp","","","","","","","","","4","Columbia Tools","Columbia Warrior Set, Columbia Tools, drywall tool set, drywall finishing kit, professional drywall tools","Columbia Warrior Set | Professional Drywall Tool Set","Columbia Warrior Set as an individual drywall finishing product for contractors using Columbia Tools.","/product/columbia-warrior-set-tws/","index, follow","Columbia Warrior Set","Columbia tool set, drywall finishing kit, professional drywall tools","Columbia Tools","TWS","TWS","TWS","NewCondition","columbia-tools","Columbia Tools","toolset","standard-catalog","toolsets","toolsets","0","","","","","","","0","","","","","","official-brand-catalog-price-validated","","Columbia Tools","[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""TWS""},{""label"":""Model"",""value"":""TWS""},{""label"":""Set"",""value"":""Warrior Set""}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","COL-BASIC-SET","","Columbia Basic Set","1","0","visible","Columbia Basic Set is an image-backed Columbia Tools set product for the launch catalog, represented as an individual simple product.","<p>Columbia Basic Set is a Columbia Tools set product added to the launch catalog from the official Columbia set image assets. It is represented as a simple product so each set can be managed, merchandised, and imported independently.</p><h3>Features</h3><ul><li><strong>Individual Product:</strong> Imported as its own simple WooCommerce product instead of a variation.</li><li><strong>Official Columbia Asset:</strong> Uses the matching Columbia set image prepared for the launch catalog.</li><li><strong>Catalog-Ready Organization:</strong> Filed under Columbia Tool Sets &amp; Kits for consistent storefront browsing.</li></ul>","","","taxable","","1","","","0","0","","","","","0","","","","Drywall Finishing Tools > Columbia Tools > Tool Sets & Kits","Columbia, Drywall Finishing Tools, Tool Sets & Kits","","https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_ts_basic_01.webp","","","","","","","","","5","Columbia Tools","Columbia Basic Set, Columbia Tools, drywall tool set, drywall finishing kit, professional drywall tools","Columbia Basic Set | Columbia Drywall Tool Set","Columbia Basic Set from Columbia Tools, represented as an individual simple product for the drywall finishing tool set catalog.","/product/columbia-basic-set/","index, follow","Columbia Basic Set","Columbia Tools, drywall finishing set, drywall tool kit, professional drywall tools","Columbia Tools","COL-BASIC-SET","COL-BASIC-SET","COL-BASIC-SET","NewCondition","columbia-tools","Columbia Tools","toolset","standard-catalog","toolsets","toolsets","0","","","","","","","0","","","","","","official-brand-image-asset-added","Price and manufacturer SKU not validated from source catalog; SKU is launch-catalog generated from set name.","Columbia Tools","[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""COL-BASIC-SET""},{""label"":""Model"",""value"":""COL-BASIC-SET""},{""label"":""Set"",""value"":""Basic Set""},{""label"":""Source"",""value"":""Columbia official set image asset""}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","COL-COMPLETE-SET","","Columbia Complete Set","1","0","visible","Columbia Complete Set is an image-backed Columbia Tools set product for the launch catalog, represented as an individual simple product.","<p>Columbia Complete Set is a Columbia Tools set product added to the launch catalog from the official Columbia set image assets. It is represented as a simple product so each set can be managed, merchandised, and imported independently.</p><h3>Features</h3><ul><li><strong>Individual Product:</strong> Imported as its own simple WooCommerce product instead of a variation.</li><li><strong>Official Columbia Asset:</strong> Uses the matching Columbia set image prepared for the launch catalog.</li><li><strong>Catalog-Ready Organization:</strong> Filed under Columbia Tool Sets &amp; Kits for consistent storefront browsing.</li></ul>","","","taxable","","1","","","0","0","","","","","0","","","","Drywall Finishing Tools > Columbia Tools > Tool Sets & Kits","Columbia, Drywall Finishing Tools, Tool Sets & Kits","","https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_ts_complete_01.webp","","","","","","","","","6","Columbia Tools","Columbia Complete Set, Columbia Tools, drywall tool set, drywall finishing kit, professional drywall tools","Columbia Complete Set | Columbia Drywall Tool Set","Columbia Complete Set from Columbia Tools, represented as an individual simple product for the drywall finishing tool set catalog.","/product/columbia-complete-set/","index, follow","Columbia Complete Set","Columbia Tools, drywall finishing set, drywall tool kit, professional drywall tools","Columbia Tools","COL-COMPLETE-SET","COL-COMPLETE-SET","COL-COMPLETE-SET","NewCondition","columbia-tools","Columbia Tools","toolset","standard-catalog","toolsets","toolsets","0","","","","","","","0","","","","","","official-brand-image-asset-added","Price and manufacturer SKU not validated from source catalog; SKU is launch-catalog generated from set name.","Columbia Tools","[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""COL-COMPLETE-SET""},{""label"":""Model"",""value"":""COL-COMPLETE-SET""},{""label"":""Set"",""value"":""Complete Set""},{""label"":""Source"",""value"":""Columbia official set image asset""}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","COL-CORNER-SEMI-AUTO-SET","","Columbia Corner Semi Auto Set","1","0","visible","Columbia Corner Semi Auto Set is an image-backed Columbia Tools set product for the launch catalog, represented as an individual simple product.","<p>Columbia Corner Semi Auto Set is a Columbia Tools set product added to the launch catalog from the official Columbia set image assets. It is represented as a simple product so each set can be managed, merchandised, and imported independently.</p><h3>Features</h3><ul><li><strong>Individual Product:</strong> Imported as its own simple WooCommerce product instead of a variation.</li><li><strong>Official Columbia Asset:</strong> Uses the matching Columbia set image prepared for the launch catalog.</li><li><strong>Catalog-Ready Organization:</strong> Filed under Columbia Tool Sets &amp; Kits for consistent storefront browsing.</li></ul>","","","taxable","","1","","","0","0","","","","","0","","","","Drywall Finishing Tools > Columbia Tools > Tool Sets & Kits","Columbia, Drywall Finishing Tools, Tool Sets & Kits","","https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_ts_corner_01.webp","","","","","","","","","7","Columbia Tools","Columbia Corner Semi Auto Set, Columbia Tools, drywall tool set, drywall finishing kit, professional drywall tools","Columbia Corner Semi Auto Set | Columbia Drywall Tool Set","Columbia Corner Semi Auto Set from Columbia Tools, represented as an individual simple product for the drywall finishing tool set catalog.","/product/columbia-corner-semi-auto-set/","index, follow","Columbia Corner Semi Auto Set","Columbia Tools, drywall finishing set, drywall tool kit, professional drywall tools","Columbia Tools","COL-CORNER-SEMI-AUTO-SET","COL-CORNER-SEMI-AUTO-SET","COL-CORNER-SEMI-AUTO-SET","NewCondition","columbia-tools","Columbia Tools","toolset","standard-catalog","toolsets","toolsets","0","","","","","","","0","","","","","","official-brand-image-asset-added","Price and manufacturer SKU not validated from source catalog; SKU is launch-catalog generated from set name.","Columbia Tools","[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""COL-CORNER-SEMI-AUTO-SET""},{""label"":""Model"",""value"":""COL-CORNER-SEMI-AUTO-SET""},{""label"":""Set"",""value"":""Corner Semi Auto Set""},{""label"":""Source"",""value"":""Columbia official set image asset""}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","COL-FINISHING-SET","","Columbia Finishing Set","1","0","visible","Columbia Finishing Set is an image-backed Columbia Tools set product for the launch catalog, represented as an individual simple product.","<p>Columbia Finishing Set is a Columbia Tools set product added to the launch catalog from the official Columbia set image assets. It is represented as a simple product so each set can be managed, merchandised, and imported independently.</p><h3>Features</h3><ul><li><strong>Individual Product:</strong> Imported as its own simple WooCommerce product instead of a variation.</li><li><strong>Official Columbia Asset:</strong> Uses the matching Columbia set image prepared for the launch catalog.</li><li><strong>Catalog-Ready Organization:</strong> Filed under Columbia Tool Sets &amp; Kits for consistent storefront browsing.</li></ul>","","","taxable","","1","","","0","0","","","","","0","","","","Drywall Finishing Tools > Columbia Tools > Tool Sets & Kits","Columbia, Drywall Finishing Tools, Tool Sets & Kits","","https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_ts_finishing_01.webp","","","","","","","","","8","Columbia Tools","Columbia Finishing Set, Columbia Tools, drywall tool set, drywall finishing kit, professional drywall tools","Columbia Finishing Set | Columbia Drywall Tool Set","Columbia Finishing Set from Columbia Tools, represented as an individual simple product for the drywall finishing tool set catalog.","/product/columbia-finishing-set/","index, follow","Columbia Finishing Set","Columbia Tools, drywall finishing set, drywall tool kit, professional drywall tools","Columbia Tools","COL-FINISHING-SET","COL-FINISHING-SET","COL-FINISHING-SET","NewCondition","columbia-tools","Columbia Tools","toolset","standard-catalog","toolsets","toolsets","0","","","","","","","0","","","","","","official-brand-image-asset-added","Price and manufacturer SKU not validated from source catalog; SKU is launch-catalog generated from set name.","Columbia Tools","[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""COL-FINISHING-SET""},{""label"":""Model"",""value"":""COL-FINISHING-SET""},{""label"":""Set"",""value"":""Finishing Set""},{""label"":""Source"",""value"":""Columbia official set image asset""}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","COL-FLAT-BOX-SET","","Columbia Flat Box Set","1","0","visible","Columbia Flat Box Set is an image-backed Columbia Tools set product for the launch catalog, represented as an individual simple product.","<p>Columbia Flat Box Set is a Columbia Tools set product added to the launch catalog from the official Columbia set image assets. It is represented as a simple product so each set can be managed, merchandised, and imported independently.</p><h3>Features</h3><ul><li><strong>Individual Product:</strong> Imported as its own simple WooCommerce product instead of a variation.</li><li><strong>Official Columbia Asset:</strong> Uses the matching Columbia set image prepared for the launch catalog.</li><li><strong>Catalog-Ready Organization:</strong> Filed under Columbia Tool Sets &amp; Kits for consistent storefront browsing.</li></ul>","","","taxable","","1","","","0","0","","","","","0","","","","Drywall Finishing Tools > Columbia Tools > Tool Sets & Kits","Columbia, Drywall Finishing Tools, Tool Sets & Kits","","https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_ts_flatbox_01.webp","","","","","","","","","9","Columbia Tools","Columbia Flat Box Set, Columbia Tools, drywall tool set, drywall finishing kit, professional drywall tools","Columbia Flat Box Set | Columbia Drywall Tool Set","Columbia Flat Box Set from Columbia Tools, represented as an individual simple product for the drywall finishing tool set catalog.","/product/columbia-flat-box-set/","index, follow","Columbia Flat Box Set","Columbia Tools, drywall finishing set, drywall tool kit, professional drywall tools","Columbia Tools","COL-FLAT-BOX-SET","COL-FLAT-BOX-SET","COL-FLAT-BOX-SET","NewCondition","columbia-tools","Columbia Tools","toolset","standard-catalog","toolsets","toolsets","0","","","","","","","0","","","","","","official-brand-image-asset-added","Price and manufacturer SKU not validated from source catalog; SKU is launch-catalog generated from set name.","Columbia Tools","[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""COL-FLAT-BOX-SET""},{""label"":""Model"",""value"":""COL-FLAT-BOX-SET""},{""label"":""Set"",""value"":""Flat Box Set""},{""label"":""Source"",""value"":""Columbia official set image asset""}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","COL-FULL-SEMI-AUTO-SET","","Columbia Full Semi Auto Set","1","0","visible","Columbia Full Semi Auto Set is an image-backed Columbia Tools set product for the launch catalog, represented as an individual simple product.","<p>Columbia Full Semi Auto Set is a Columbia Tools set product added to the launch catalog from the official Columbia set image assets. It is represented as a simple product so each set can be managed, merchandised, and imported independently.</p><h3>Features</h3><ul><li><strong>Individual Product:</strong> Imported as its own simple WooCommerce product instead of a variation.</li><li><strong>Official Columbia Asset:</strong> Uses the matching Columbia set image prepared for the launch catalog.</li><li><strong>Catalog-Ready Organization:</strong> Filed under Columbia Tool Sets &amp; Kits for consistent storefront browsing.</li></ul>","","","taxable","","1","","","0","0","","","","","0","","","","Drywall Finishing Tools > Columbia Tools > Tool Sets & Kits","Columbia, Drywall Finishing Tools, Tool Sets & Kits","","https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_ts_full_01.webp","","","","","","","","","10","Columbia Tools","Columbia Full Semi Auto Set, Columbia Tools, drywall tool set, drywall finishing kit, professional drywall tools","Columbia Full Semi Auto Set | Columbia Drywall Tool Set","Columbia Full Semi Auto Set from Columbia Tools, represented as an individual simple product for the drywall finishing tool set catalog.","/product/columbia-full-semi-auto-set/","index, follow","Columbia Full Semi Auto Set","Columbia Tools, drywall finishing set, drywall tool kit, professional drywall tools","Columbia Tools","COL-FULL-SEMI-AUTO-SET","COL-FULL-SEMI-AUTO-SET","COL-FULL-SEMI-AUTO-SET","NewCondition","columbia-tools","Columbia Tools","toolset","standard-catalog","toolsets","toolsets","0","","","","","","","0","","","","","","official-brand-image-asset-added","Price and manufacturer SKU not validated from source catalog; SKU is launch-catalog generated from set name.","Columbia Tools","[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""COL-FULL-SEMI-AUTO-SET""},{""label"":""Model"",""value"":""COL-FULL-SEMI-AUTO-SET""},{""label"":""Set"",""value"":""Full Semi Auto Set""},{""label"":""Source"",""value"":""Columbia official set image asset""}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","simple","COL-STARTER-SEMI-AUTO-SET","","Columbia Starter Semi Auto Set","1","0","visible","Columbia Starter Semi Auto Set is an image-backed Columbia Tools set product for the launch catalog, represented as an individual simple product.","<p>Columbia Starter Semi Auto Set is a Columbia Tools set product added to the launch catalog from the official Columbia set image assets. It is represented as a simple product so each set can be managed, merchandised, and imported independently.</p><h3>Features</h3><ul><li><strong>Individual Product:</strong> Imported as its own simple WooCommerce product instead of a variation.</li><li><strong>Official Columbia Asset:</strong> Uses the matching Columbia set image prepared for the launch catalog.</li><li><strong>Catalog-Ready Organization:</strong> Filed under Columbia Tool Sets &amp; Kits for consistent storefront browsing.</li></ul>","","","taxable","","1","","","0","0","","","","","0","","","","Drywall Finishing Tools > Columbia Tools > Tool Sets & Kits","Columbia, Drywall Finishing Tools, Tool Sets & Kits","","https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_ts_starter_01.webp","","","","","","","","","11","Columbia Tools","Columbia Starter Semi Auto Set, Columbia Tools, drywall tool set, drywall finishing kit, professional drywall tools","Columbia Starter Semi Auto Set | Columbia Drywall Tool Set","Columbia Starter Semi Auto Set from Columbia Tools, represented as an individual simple product for the drywall finishing tool set catalog.","/product/columbia-starter-semi-auto-set/","index, follow","Columbia Starter Semi Auto Set","Columbia Tools, drywall finishing set, drywall tool kit, professional drywall tools","Columbia Tools","COL-STARTER-SEMI-AUTO-SET","COL-STARTER-SEMI-AUTO-SET","COL-STARTER-SEMI-AUTO-SET","NewCondition","columbia-tools","Columbia Tools","toolset","standard-catalog","toolsets","toolsets","0","","","","","","","0","","","","","","official-brand-image-asset-added","Price and manufacturer SKU not validated from source catalog; SKU is launch-catalog generated from set name.","Columbia Tools","[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""COL-STARTER-SEMI-AUTO-SET""},{""label"":""Model"",""value"":""COL-STARTER-SEMI-AUTO-SET""},{""label"":""Set"",""value"":""Starter Semi Auto Set""},{""label"":""Source"",""value"":""Columbia official set image asset""}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
