"regenerated_image","regenerated_path","regenerated_stem","normalized_key","production_match_count","production_images","columbia_catalog_sku_count","columbia_catalog_skus","match_status"
"050110f-a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\050110f-a.webp","050110f-a","050110FA","0","","0","","no_match"
"209046-a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\209046-a.webp","209046-a","209046A","0","","0","","no_match"
"219064-a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\219064-a.webp","219064-a","219064A","0","","0","","no_match"
"402019-a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\402019-a.webp","402019-a","402019A","0","","0","","no_match"
"50141-a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\50141-a.webp","50141-a","50141A","0","","0","","no_match"
"50226-a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\50226-a.webp","50226-a","50226A","0","","0","","no_match"
"50229-a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\50229-a.webp","50229-a","50229A","0","","0","","no_match"
"50232-a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\50232-a.webp","50232-a","50232A","0","","0","","no_match"
"54075-a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\54075-a.webp","54075-a","54075A","0","","0","","no_match"
"56022-a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\56022-a.webp","56022-a","56022A","0","","0","","no_match"
"59078-a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\59078-a.webp","59078-a","59078A","0","","0","","no_match"
"59225-a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\59225-a.webp","59225-a","59225A","0","","0","","no_match"
"61x8caiYGML._AC_SX300_SY300_QL70_FMwebp_.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\61x8caiYGML._AC_SX300_SY300_QL70_FMwebp_.webp","61x8caiYGML._AC_SX300_SY300_QL70_FMwebp_","61X8CAIYGMLACSX300SY300QL70FMWEBP","0","","0","","no_match"
"805865-a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\805865-a.webp","805865-a","805865A","0","","0","","no_match"
"807224-a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\807224-a.webp","807224-a","807224A","0","","0","","no_match"
"809011-a2.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\809011-a2.webp","809011-a2","809011A2","0","","0","","no_match"
"809171.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\809171.webp","809171","809171","0","","0","","no_match"
"ab1.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ab1.webp","ab1","AB1","0","","1","AB1","catalog_only"
"ab3a-left.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ab3a-left.webp","ab3a-left","AB3ALEFT","0","","1","AB3A-LEFT","catalog_only"
"ab3a-right.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ab3a-right.webp","ab3a-right","AB3ARIGHT","0","","1","AB3A-RIGHT","catalog_only"
"ab40.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ab40.webp","ab40","AB40","0","","1","AB40","catalog_only"
"ab45.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ab45.webp","ab45","AB45","0","","1","AB45","catalog_only"
"ab50.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ab50.webp","ab50","AB50","0","","1","AB50","catalog_only"
"ab51.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ab51.webp","ab51","AB51","0","","1","AB51","catalog_only"
"ab54.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ab54.webp","ab54","AB54","0","","1","AB54","catalog_only"
"ah20.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ah20.webp","ah20","AH20","0","","1","AH-20","catalog_only"
"ah23.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ah23.webp","ah23","AH23","0","","1","AH-23","catalog_only"
"ah32.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ah32.webp","ah32","AH32","1","columbia-AH3-2-02.webp","1","AH3-2","matched_production"
"bh-11.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\bh-11.webp","bh-11","BH11","1","columbia-BH11-02.webp","1","BH11","matched_production"
"bh8-3.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\bh8-3.webp","bh8-3","BH83","0","","1","BH-8-3","catalog_only"
"c148.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\c148.webp","c148","C148","0","","1","C148","catalog_only"
"c779-cs.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\c779-cs.webp","c779-cs","C779CS","0","","1","C779-CS","catalog_only"
"c78s.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\c78s.webp","c78s","C78S","0","","1","C78S","catalog_only"
"cf15-3.5.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\cf15-3.5.webp","cf15-3.5","CF1535","0","","0","","no_match"
"cfb5a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\cfb5a.webp","cfb5a","CFB5A","0","","1","CFB5A","catalog_only"
"ct-104.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct-104.webp","ct-104","CT104","1","columbia-CT104-02.webp","1","CT104","matched_production"
"ct-99a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct-99a.webp","ct-99a","CT99A","0","","0","","no_match"
"ct00.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct00.webp","ct00","CT00","0","","1","CT00","catalog_only"
"ct03.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct03.webp","ct03","CT03","0","","1","CT03","catalog_only"
"ct140.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct140.webp","ct140","CT140","0","","1","CT-140","catalog_only"
"ct364.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct364.webp","ct364","CT364","0","","1","CT364","catalog_only"
"ct624.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct624.webp","ct624","CT624","0","","1","CT624","catalog_only"
"ct69.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct69.webp","ct69","CT69","0","","1","CT69","catalog_only"
"ct74.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct74.webp","ct74","CT74","0","","1","CT74","catalog_only"
"ct741a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct741a.webp","ct741a","CT741A","0","","1","CT741A","catalog_only"
"ct747.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct747.webp","ct747","CT747","0","","1","CT747","catalog_only"
"ct759.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct759.webp","ct759","CT759","0","","1","CT759","catalog_only"
"ct771.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct771.webp","ct771","CT771","0","","1","CT771","catalog_only"
"ct776.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct776.webp","ct776","CT776","0","","1","CT776","catalog_only"
"ct790.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct790.webp","ct790","CT790","0","","1","CT790","catalog_only"
"fa209.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\fa209.webp","fa209","FA209","0","","0","","no_match"
"fa20a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\fa20a.webp","fa20a","FA20A","0","","1","FA20A","catalog_only"
"fa21k.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\fa21k.webp","fa21k","FA21K","0","","0","","no_match"
"fa287.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\fa287.webp","fa287","FA287","0","","1","FA287","catalog_only"
"fa309.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\fa309.webp","fa309","FA309","0","","1","FA309","catalog_only"
"ffb-25-10.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffb-25-10.webp","ffb-25-10","FFB2510","1","columbia-FFB25-10-02.webp","1","FFB25-10","matched_production"
"ffb-sa.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffb-sa.webp","ffb-sa","FFBSA","0","","1","FFB-SA","catalog_only"
"ffb1a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffb1a.webp","ffb1a","FFB1A","0","","1","FFB1A","catalog_only"
"ffb1b.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffb1b.webp","ffb1b","FFB1B","0","","1","FFB1B","catalog_only"
"ffb24-10.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffb24-10.webp","ffb24-10","FFB2410","0","","1","FFB24-10","catalog_only"
"ffb9-10.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffb9-10.webp","ffb9-10","FFB910","1","columbia-FFB9-10-02.webp","1","FFB9-10","matched_production"
"ffb9-7.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffb9-7.webp","ffb9-7","FFB97","1","columbia-FFB9-7-02.webp","1","FFB9-7","matched_production"
"ffb9-8.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffb9-8.webp","ffb9-8","FFB98","1","columbia-FFB9-8-02.webp","1","FFB9-8","matched_production"
"ffh12.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffh12.webp","ffh12","FFH12","0","","0","","no_match"
"hns10a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\hns10a.webp","hns10a","HNS10A","1","columbia-HNS10A-02.webp","1","HNS10A","matched_production"
"ns-25-2.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ns-25-2.webp","ns-25-2","NS252","0","","0","","no_match"
"ns26a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ns26a.webp","ns26a","NS26A","0","","0","","no_match"
"ns27.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ns27.webp","ns27","NS27","0","","0","","no_match"
"ns32.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ns32.webp","ns32","NS32","0","","0","","no_match"
"s1.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\s1.webp","s1","S1","0","","1","S1","catalog_only"
"s2.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\s2.webp","s2","S2","0","","1","S2","catalog_only"
"s5.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\s5.webp","s5","S5","0","","1","S5","catalog_only"
"sb7.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\sb7.webp","sb7","SB7","0","","1","SB7","catalog_only"
"tsb-14.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\tsb-14.webp","tsb-14","TSB14","0","","1","TSB-14","catalog_only"
"vaz10.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\vaz10.webp","vaz10","VAZ10","0","","1","VAZ10","catalog_only"
