"Brand","Type","SKU","Parent SKU","Name","Categories","Images"
"Columbia","simple","FA-348","","1/4 Flat Washer (FA348)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA-383","","1/4 - 20 x 3/8 Flat Head Screw (FA383)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA-S26","","6 - 32 x 1/4 Set Screw (FA S26)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA20A","","4 - 40 x 3/16 Flat Head Screw (FA20A)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA21A","","4 - 40 X 1/2 in Fill. Head Screw (FA219)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA221","","#6 Belleville Washer (FA221)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA22K","","4 - 40 Nyloc Nut (FA22K)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA242","","6 - 32 x 3/8 Pan Head Screw (FA242)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA263","","8 - 32 x 5/8 Flat Head Screw (FA263)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA27A","","6 - 32 x 1/4 Pan Head Screw (FA27A)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA28","","#8 Lock Washer (FA28)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA283","","4 - 40 X 3/4"" Hex Bolt (FA283)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA284","","3/16 x 3/8 SS Pop Rivet (FA284)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA285","","1/4"" Plastic Washer (FA285)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA287","","1/4 x 5/8 Split Pin (FA287)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA290","","1/4 - 20 Nyloc Nut (FA290)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA2AS","","1/4 in Plastic Washer (FA285)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA2J0","","#10 Belleville Washer (FA280)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA2L3","","4 - 40 X 3/4"" Hex Bolt (FA283)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA304","","5/16 Flat Washer (FA - 304)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA309","","5/16 - 18 x 1/2 Socket Head Screw (FA309)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA314","","10 - 24 X 1 - 1/2 Pan Slot (FA314)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA318","","3/8 - 16 x 1 - 1/4 Hex Bolt (FA318)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA323","","1/4 - 20 X 1"" Hex Bolt (FA323)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA324","","10 - 24 x 1/4 Set Screw (FA324)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA327","","8 - 32 x 1/4 Pan Head Screw (FA327)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA328","","3/8 Flat Washer (FA328)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA32S","","1/4 - 20 X 1"" Hex Bolt (FA323)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA337","","1/4 - 20 x 5/8 Flat Socket Head (FA337)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA340","","1/4 - 20 x 1 - 1/4 Socket Head (FA340)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA341","","1/4 - 20 x 1 - 3/4 Hex Bolt (FA341)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA342","","1/4 - 20 x 3/4 Hex Bolt (FA342)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA345","","1/4 x 1/4 Roll Pin (FA345)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA346","","1/4 Star Washer (FA346)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA350","","5/16 - 18 x 7/8 Socket Head Screw (FA350)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA355","","3/8 - 16 x 5/8 Flat Head Screw (FA355)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA358","","3/8 - 16 Nyloc Nut (FA358)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA359","","3/8 x 1/2 Roll Pin (FA359)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA360","","3/8 Lock Washer (FA360)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA362","","10 - 24 x 3/4 Flat Head Screw (FA362)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA364","","8 - 32 x 5/8 Hex Bolt (FA364)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA366","","8 - 32 x 3/8 Pan Head Screw (FA366)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA371","","10 - 24 x 7/8 Hex Bolt (FA371)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA374","","10 - 32 x 1/4 Flat Head Screw (FA374)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA375","","10 - 32 x 3/8 Flat Head Screw (FA375)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA377","","6 - 32 x 1/4 Flat Head Screw (FA377)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA390","","6 - 32 x 7/8 Pan Head Screw (FA390)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA391","","6 - 32 x 1 Pan Head Screw (FA391)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA392","","6 - 32 x 1 - 1/4 Pan Head Screw (FA392)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA393","","6 - 32 x 1 - 1/2 Pan Head Screw (FA393)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA526","","3/8 - 16 x 1 Hex Bolt (FA526)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAJ144","","Predator Joint Fastener 14 - 4 (FAJ144)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAJ706","","Predator Joint Fastener 70 - 6 (FAJ706)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAS46","","Predator Taper 4 - 40 x 5/16 Set Screw (FAS46)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ07","","Predator Taper 4 - 40 x 3/16 Binder Slot (FAZ07)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ0A","","Predator Taper 4 - 40 Lock Washer (FAZ0A)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ10","","Predator Taper 4 - 40 x 1/4 Fillister Slot (FAZ10)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ14","","Predator Taper 4 - 40 x 3/8 Hex Bolt (FAZ14)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ1S","","Predator Taper 4 - 40 x 1/8 Set Screw (FAZ1S)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ20","","Predator Taper 6 - 32 x 3/4 Hex Bolt (FAZ20)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ21S","","Predator Taper 6 - 32 x 1/8 Set Screw (FAZ21S)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ2R","","Predator Taper 6 - 32 Nyloc Nut (FAZ2R)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ48","","Predator Taper 5/16 - 18 x 3/4 Hex Bolt (FAZ48)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ54","","Predator Taper 3/8 - 16 x 3/4 Socket Head (FAZ54)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ5S","","Predator Taper 8 - 32 x 1/4 Set Screw (FAZ5S)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ6S","","Predator Taper 8 - 32 x 3/16 Set Screw (FAZ6S)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZOR","","Predator Taper 4 - 40 O - Ring (FAZOR)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FCMR1-5X18MM","","Columbia Corner Mud Roller Replacement","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FF8-12","","Adjuster Dial Assy (5.5,7,8,10)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FF8-19","","Brass Adjuster Pin (FFB19)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FF8-32","","Thumb Release Clip (FFB32)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FF8-4C","","Flat Box Corner Blade Assembly 4 in (FFB4C)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FF8A-10-10","","Blade Bar Assembly 10 in (FFBA10 - 10)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB-2S-10","","Flat Box Side Plate 10 in Short (FFB 2S - 10)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB-SA","","Flat Box Side Arm Assembly (FFB SA)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB10-10","","Flat Box Side Cover 10 in (FFB10 - 10)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB11-10","","Adjuster Spring - 10""","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB11-12","","Adjuster Spring - 12""","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB11-8","","Adjuster Spring - 8""","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB12","","Adjuster Dial Assembly 12 in (FFB12)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB16","","Door Spring Nut","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB18","","Rear Plate 8"" (FFB1 - 8)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB19","","Brass Adjuster Pin (FFB19)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB1A","","Nail Spotter Flat Plate 1A (FFB1A)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB1B","","Flat Box Body 1B (FFB1B)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB2-10","","Roll Face 10"" (FFB2 - 10)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB24-10","","Flat Box Wheel Axle 24 in 10 in (FFB24 - 10)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB2A","","Bushing (FFB2A)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB35","","Flat Box Spring Assembly (FFB35)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB40-10","","Flat Box Door Gasket 10 in (FFB40 - 10)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB40-10IN","","Flat Box Door Gasket 10 in (FFB40 - 10)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB41","","Flat Box Axle Assembly (FFB41)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB42","","Flat Box Door Pivot (FFB 42)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB43","","Bead Wheel Bushing (FFB43)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB44","","Flat Box Door Pivot Pin (FFB44)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB4C","","Flat Box Corner Blade Assembly 4 in (FFB4C)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFB9-5-5","","Blade 5.5""","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FFH14","","Handle Grip (FFH14)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FG-3A","","Flat Box Angle Guide 3A (FG3A)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FG4-45","","Flat Box 45 Degree Corner Guide 4 in (FG4 - 45)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FR258","","Predator Taper Frame Reinforcement (FR258)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FRZ13","","Predator Taper Zinc Frame Rivet (FRZ13)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FX242","","Predator Taper Flex Connector (FX242)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","H-1","","Hot Mud Pump Cylinder (HP1)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HB48B","","Hot Mud Pump Handle B (HB48B)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HFB-17","","Heavy Flat Box Wheel Set (HFFB17)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HFBB14-10","","Hinged Door Gasket 10 in Fat Boy (HFBB14 - 10)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HFFB1-10","","10 in Heavy Flat Box Body (HFFB1 - 10)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HFFB14-10IN","","HFFB14 - 10 - 10"" Flat Box Hinged Door Gasket","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HFFB1A-10","","Mud Seal Strip - 10""","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HFFB3A","","Hinge Box End Plate - Left","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HFFB4-10","","10 in Heavy Flat Box Door (HFFB4 - 10)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HFFB4D","","Nylatron Bushing","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HH10-EXTLONG","","Octogon Tube for Hydro Handle for COL88 (HH10)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HH21","","Reservoir Piston Spring for COL88 (HH21)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HNS-3","","Nail Spotter Front Plate (HNS3)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HNS14-PR","","Nail Spotter 14 in Pad and Rod Assembly (HNS14PR)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HNS14A","","Handle Link New Style (HNS14A)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HNS19-3","","Triangle Shoe 3 in (HNS19 - 3”)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HNS2-3","","Nail Spotter Front Plate (HNS3)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HNS2A","","Rollface Post (HNS2A)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HNS9-3","","Face Plate 3 in (HNS9 - 3”)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HP4","","Hot Mud Pump Piston Assembly (HP4)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HP48","","Handle Pin (HP48)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HP48A","","Hot Mud Pump HP48 Body A (HP48A)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HP48B","","Hot Mud Pump HP48 Body B (HP48B)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HP48L","","Hot Mud Pump HP48 Long Body (HP48L)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","HPA-48","","HPA48 - Handle Pin Assembly","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","ICA-2","","Inside Corner Applicator Axle (ICA2)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","ICA-3","","Inside Corner Applicator Wheel (ICA3)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","ICA-4L","","Inside Corner Applicator Left Frame Sub - Assembly (ICA4L)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","ICA-4R","","Inside Corner Applicator Right Frame Sub - Assembly (ICA4R)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","ICATW-1","","Inside 90 Applicator with Wheels (ICATW)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","ICATW-2","","Inside 90 Applicator with Wheels (ICATW)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","LT06","","Predator Taper Lightweight Frame Bracket (LT06)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","LT54","","Predator Taper Titanium Pull Rod 54 (LT54)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","MH1","","Handle Mount Plate","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","MP2","","Foot Valve Casting","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","MP33A","","Mud Pump Spring Assembly (MP33A)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","MP7A","","Mud Pump Foot Valve A (MP7A)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","MP7B","","Mud Pump O - Ring Retainer B (MP7B)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","MP7C","","Mud Pump O - Ring Retainer C (replaces MP7D)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","MP7D","","Special Nut for Pump Handle (MP7D)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","MP7E","","Mud Pump Foot Valve E (MP7E)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","MP8A","","Mud Pump Valve Spring A (MP8A)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","MP8B","","Mud Pump Valve Spring B (MP8B)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","MRR12","","Columbia 2K Drywall Mud Roller Replacement","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","MRW","","Columbia Mud Roller Washer","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","NOLI","","NOLI","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","OCR-1","","Corner Roller Head Casting CR1 (CR1)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","OCR-2A","","Roller Wheel CR2 (CR2)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","OCR-2B","","Roller Wheel CR2 (CR2)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","OCR-2C","","Roller Wheel CR2 (CR2)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","OCR-2D","","Roller Wheel CR2 (CR2)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","OCR-3","","Corner Roller Bearing Sleeve CR3 (CR3)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","OCR-3A","","Corner Roller Bearing Sleeve CR3 (CR3)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","OCR-5","","Corner Roller Wheel CR5 (CR5)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","OCR-6","","Corner Roller Handle Mounting Swivel CR6 (CR6)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","PA214","","Predator Taper Head Assembly 14 in (PA214)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","PA266","","Predator Taper Head Sub Assembly (PA266)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","PA277","","Predator Taper Creaser Arm Assembly (PA277)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","PA2LS","","Predator Taper Left Side Assembly (PA2LS)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","PA2S4","","Predator Taper Side Plate Assembly (PA2S4)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","PACTS","","Predator Taper Cam Track Spring (PACTS)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","PAS07","","Predator Taper Pivot Assembly Small (PAS07)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","PAS80","","Predator Taper Pull Rod Assembly (PAS80)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","PASS9","","Predator Taper Spring Set (PASS9)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","PAZ20","","Predator Taper Zinc Cam Roller (PAZ20)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","PAZ49","","Predator Taper Zinc Pivot Pin (PAZ49)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","S1","","Sander Head Main Body (S1)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","S2","","Sander Head Pivot Pin (S2)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","S3","","Sander Head Return Spring (S3)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","S4","","Sander Head Pivot Washer (S4)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","S5","","Sander Head Retainer Clip (S5)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","S6","","Sander Head Swivel Bearing (S6)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","SB1-12IN","","Tomahawk 12 in Smoothing Blade (SB1 - 12)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","SB3-LEFT","","Tomahawk Left Arm Assembly (SB3 - LEFT)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","SB4-RIGHT","","Tomahawk Right Arm Assembly (SB4 - RIGHT)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","SB5-SB6","","Tomahawk Blade Holder Spring (SB5)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","SB7","","Tomahawk Handle Fitting (SB7)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","SEE-EXTENSION-HOUSING-DETAIL","","SEE EXTENSION HOUSING DETAIL","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","SEE-HEAD-DETAIL","","SEE HEAD DETAIL","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","SEE-LEVER-DETAIL","","SEE LEVER DETAIL","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","SEE-PINCHBOX-DETAIL","","SEE PINCHBOX DETAIL","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","SF5","","Columbia Shrink Fit Comfort Grips for Welded Stainless Steel Joint Knives","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","TBMP8B","","Tall Boy Loading Pump (TBMP)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","VAZ10","","Predator Taper Valve Assembly Zinc (VAZ10)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","variable","COL-MATRIX-BOX-HANDLE","","Columbia Matrix Box Handle","Drywall Finishing Tools > Columbia > Automatic Taping Tools",""
